Ticker,Name,ESG Rating,ESG Label
FSLR,FIRST SOLAR INC,17.31,Low
SSE,SSE PLC,21.95,Medium
IBE,IBERDROLA SA,22.61,Medium
VWS,VESTAS WIND SYSTEMS,16.27,Low
600900,CHINA YANGTZE POWER LTD A,20.74,Medium
EQTL3,EQUATORIAL SA,24.99,Medium
EDP,EDP ENERGIAS DE PORTUGAL SA,20.69,Medium
NXT,NEXTRACKER INC CLASS A,15.59,Low
ENPH,ENPHASE ENERGY INC,19.9,Low
ELET3,CENTRAIS ELETR BRAS-ELETROBRAS,30.57,High
SUZLON,SUZLON ENERGY LTD,22.06,Medium
9502,CHUBU ELECTRIC POWER INC,44.1,Severe
ORSTED,ORSTED,19.97,Low
ORA,ORMAT TECH INC,14.25,Low
BE,BLOOM ENERGY CLASS A CORP,32.11,High
NHPC,NHPC LTD,22.78,Medium
BREN,BARITO RENEWABLES ENERGY,37.68,High
CMIG4,CIA ENERGETICA DE MINAS GERAIS PRE,22.35,Medium
NPI,NORTHLAND POWER INC,25.3,Medium
EDPR,EDP RENOVAVEIS SA,14.63,Low
CWEN,CLEARWAY ENERGY INC CLASS C,41.57,Severe
ENGI11,ENERGISA UNITS SA,29.64,Medium
NDX1,NORDEX,22.96,Medium
EGIE3,ENGIE BRASIL ENERGIA SA,20.51,Medium
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,18.6,Low
9830,HANWHA SOLUTIONS CORP,20.45,Medium
CPLE6,CIA PARANAENSE DE ENERGIA COPEL PR,22.04,Medium
968,XINYI SOLAR HOLDINGS LTD,24.22,Medium
VER,VERBUND AG,18.85,Low
300274,SUNGROW POWER SUPPLY LTD A,24.05,Medium
BKW,BKW N AG,40.1,High
600905,CHINA THREE GORGES RENEWABLES(GROU,26.5,Medium
INOXWIND,INOX WIND LTD,33.34,High
BLX,BORALEX INC CLASS A,18.33,Low
601012,LONGI GREEN ENERGY TECHNOLOGY LTD,24.8,Medium
CPFE3,CPFL ENERGIA SA,33.7,High
RUN,SUNRUN INC,19.89,Low
586,CHINA CONCH VENTURE HOLDINGS LTD,24.11,Medium
ERG,ERG,14.28,Low
9958,CENTURY IRON AND STEEL INDUSTRIAL,33.15,High
600025,HUANENG LANCANG RIVER HYDROPOWER I,43.01,Severe
600674,SICHUAN CHUANTOU ENERGY LTD A,31.36,High
1735,CENTRAL NEW ENERGY HOLDING GROUP L,48,Severe
BRL,BRL CASH,N/A,N/A
ENLT,ENLIGHT RENEWABLE ENERGY LTD,14.13,Low
CEN,CONTACT ENERGY LTD,31.3,High
ENELCHILE,ENEL CHILE SA,17.75,Low
SJVN,SJVN LTD,43.21,Severe
SEDG,SOLAREDGE TECHNOLOGIES INC,15.31,Low
JKS,JINKOSOLAR HOLDING ADR REP LTD,37.53,High
PLUG,PLUG POWER INC,27.95,Medium
ARRY,ARRAY TECHNOLOGIES INC,18.3,Low
MEL,MERIDIAN ENERGY LTD,19.55,Low
ENELAM,ENEL AMERICAS SA,22.16,Medium
MCY,MERCURY NZ LTD,18.4,Low
112610,CS WIND CORP,32.09,High
ANE,CORPORACION ACCIONA ENERGIAS RENOV,9.36,Negligible
