days_from_shock,mean_cumret_icln,mean_cumret_xle
-10,0.002084640080032667,-0.000570411549448676
-9,0.0022299577946342515,8.755248879873676e-05
-8,0.003478998436377353,-0.00044855882412590483
-7,0.002451109126736706,-0.0014523426694221984
-6,0.0008835460299893516,-0.0057137214414478155
-5,-0.0002889155116227449,-0.007200229430806111
-4,-0.0023754868522262037,-0.007688771601353302
-3,-0.0027233093727058325,-0.008002082571568174
-2,-0.004012454942559077,-0.007669824085270473
-1,-0.0037849918544606257,-0.00736925336760726
0,-0.004220794841517559,-0.00962663994028243
1,-0.0019030391844734498,-0.008897395425165629
2,-0.0018857547522909658,-0.008634623934392505
3,-2.1123696675856603e-05,-0.005891146439733214
4,0.0020170214013892386,-0.005644713831065948
5,0.0041689121366570376,-0.0031637563319855356
6,0.0074845289793662746,-0.0005630165137236521
7,0.007787147771171998,-0.0015992439629231802
8,0.008069208695687698,0.001410766766318922
9,0.008779984453745887,0.0009437935652686053
10,0.00955933834036404,0.002443455069108183
